1 Ağustos 2008 Cuma  
['Saat', 'Sıcaklık', 'Hissedilir Sıcaklık', 'Rüzgar', 'Rüzgarın Şiddeti', 'Bağıl Nem', 'Çiğ oluşma derecesi', 'Basınç', 'Simge', 'TarifAyrıntılar']
['16:50', '28°C', '29°C', '20 Km/h', 'N/A', '55%', '18°C', '1012,0mb', '', 'Az bulutlu']
['17:50', '27°C', '28°C', '20 Km/h', 'N/A', '58%', '18°C', '1012,0mb', '', 'Az bulutlu']
['18:50', '26°C', '27°C', '24 Km/h', 'N/A', '65%', '19°C', '1012,0mb', '', 'Az bulutlu']
['19:50', '26°C', '27°C', '19 Km/h', 'N/A', '65%', '19°C', '1012,0mb', '', 'Az bulutlu']
['20:50', '24°C', '25°C', '13 Km/h', 'N/A', '78%', '20°C', '1013,0mb', '', 'Az bulutlu']
['21:50', '24°C', '25°C', '7 Km/h', 'N/A', '78%', '20°C', '1013,0mb', '', 'Az bulutlu']
['22:50', '24°C', '25°C', '7 Km/h', 'N/A', '83%', '21°C', '1013,0mb', '', 'Açık']
['23:50', '23°C', '24°C', '6 Km/h', 'N/A', '89%', '21°C', '1013,0mb', '', 'Açık']
4 Ağustos 2008 Pazartesi  
['Saat', 'Sıcaklık', 'Hissedilir Sıcaklık', 'Rüzgar', 'Rüzgarın Şiddeti', 'Bağıl Nem', 'Çiğ oluşma derecesi', 'Basınç', 'Simge', 'TarifAyrıntılar']
['00:50', '22°C', '23°C', '6 Km/h', 'N/A', '94%', '21°C', '1013,0mb', '', 'Açık']
['01:50', '22°C', '23°C', '7 Km/h', 'N/A', '100%', '22°C', '1012,0mb', '', 'Açık']
['02:50', '22°C', '23°C', '7 Km/h', 'N/A', '100%', '22°C', '1012,0mb', '', 'Açık']
['03:50', '22°C', '23°C', '7 Km/h', 'N/A', '100%', '22°C', '1012,0mb', '', 'Açık']
['04:50', '22°C', '23°C', '7 Km/h', 'N/A', '100%', '22°C', '1012,0mb', '', 'Açık']
['05:50', '22°C', '23°C', '6 Km/h', 'N/A', '100%', '22°C', '1012,0mb', '', 'Az bulutlu']
['06:50', '21°C', '21°C', '7 Km/h', 'N/A', '100%', '21°C', '1012,0mb', '', 'Az bulutlu']
['07:50', '24°C', '25°C', '6 Km/h', 'N/A', '89%', '22°C', '1012,0mb', '', 'Az bulutlu']
['08:50', '24°C', '25°C', '7 Km/h', 'N/A', '83%', '21°C', '1012,0mb', '', 'Az bulutlu']
['09:50', '26°C', '27°C', '11 Km/h', 'N/A', '74%', '21°C', '1012,0mb', '', 'Az bulutlu']
['10:50', '27°C', '29°C', '9 Km/h', 'N/A', '66%', '20°C', '1012,0mb', '', 'Az bulutlu']
['11:50', '28°C', '29°C', '13 Km/h', 'N/A', '58%', '19°C', '1012,0mb', '', 'Az bulutlu']
['12:50', '29°C', '30°C', '13 Km/h', 'N/A', '51%', '18°C', '1011,0mb', '', 'Az bulutlu']
['13:50', '30°C', '30°C', '19 Km/h', 'N/A', '46%', '17°C', '1010,0mb', '', 'Az bulutlu']
['14:50', '31°C', '31°C', '17 Km/h', 'N/A', '43%', '17°C', '1010,0mb', '', 'Az bulutlu']
['15:50', '30°C', '31°C', '20 Km/h', 'N/A', '52%', '19°C', '1010,0mb', '', 'Az bulutlu']
['16:50', '30°C', '31°C', '19 Km/h', 'N/A', '52%', '19°C', '1010,0mb', '', 'Az bulutlu']
['17:50', '29°C', '31°C', '17 Km/h', 'N/A', '58%', '20°C', '1010,0mb', '', 'Az bulutlu']
['18:50', '28°C', '29°C', '11 Km/h', 'N/A', '55%', '18°C', '1011,0mb', '', 'Az bulutlu']
['19:50', '27°C', '28°C', '13 Km/h', 'N/A', '54%', '17°C', '1011,0mb', '', 'Az bulutlu']
['20:50', '25°C', '25°C', '13 Km/h', 'N/A', '69%', '19°C', '1011,0mb', '', 'Açık']
['21:50', '23°C', '24°C', '13 Km/h', 'N/A', '89%', '21°C', '1011,0mb', '', 'Açık']
['22:50', '23°C', '24°C', '6 Km/h', 'N/A', '94%', '22°C', '1011,0mb', '', 'Açık']
['23:50', '22°C', '23°C', '6 Km/h', 'N/A', '94%', '21°C', '1011,0mb', '', 'Açık']
5 Ağustos 2008 Salı  
['Saat', 'Sıcaklık', 'Hissedilir Sıcaklık', 'Rüzgar', 'Rüzgarın Şiddeti', 'Bağıl Nem', 'Çiğ oluşma derecesi', 'Basınç', 'Simge', 'TarifAyrıntılar']
['00:50', '21°C', '21°C', '6 Km/h', 'N/A', '94%', '20°C', '1011,0mb', '', 'Açık']
['02:50', '19°C', '19°C', '6 Km/h', 'N/A', '100%', '19°C', '1011,0mb', '', 'Açık']
['03:50', '18°C', '18°C', '4 Km/h', 'N/A', '100%', '18°C', '1011,0mb', '', 'Açık']
['04:50', '18°C', '18°C', '4 Km/h', 'N/A', '100%', '18°C', '1011,0mb', '', 'Açık']
['05:50', '18°C', '18°C', '4 Km/h', 'N/A', '100%', '18°C', '1011,0mb', '', 'Açık']
['06:50', '18°C', '18°C', '4 Km/h', 'N/A', '100%', '18°C', '1011,0mb', '', 'Açık']
['07:50', '20°C', '20°C', '2 Km/h', 'N/A', '100%', '20°C', '1011,0mb', '', 'Açık']
['08:50', '23°C', '24°C', 'Değişken da/de 2 Km/h', 'N/A', '89%', '21°C', '1011,0mb', '', 'Az bulutlu']
['09:50', '25°C', '26°C', '6 Km/h', 'N/A', '83%', '22°C', '1011,0mb', '', 'Açık']
['10:50', '27°C', '29°C', '7 Km/h', 'N/A', '70%', '21°C', '1010,0mb', '', 'Açık']
['11:50', '29°C', '30°C', '7 Km/h', 'N/A', '55%', '19°C', '1010,0mb', '', 'Açık']
['12:50', '30°C', '31°C', '11 Km/h', 'N/A', '52%', '19°C', '1010,0mb', '', 'Açık']
['13:50', '32°C', '32°C', '13 Km/h', 'N/A', '38%', '16°C', '1009,0mb', '', 'Açık']
['14:50', '32°C', '31°C', '19 Km/h', 'N/A', '33%', '14°C', '1009,0mb', '', 'Açık']
['15:50', '32°C', '32°C', '20 Km/h', 'N/A', '41%', '17°C', '1009,0mb', '', 'Az bulutlu']
['16:50', '31°C', '30°C', '20 Km/h', 'N/A', '35%', '14°C', '1009,0mb', '', 'Az bulutlu']
['17:50', '30°C', '30°C', '22 Km/h', 'N/A', '40%', '15°C', '1009,0mb', '', 'Açık']
['18:50', '29°C', '29°C', '13 Km/h', 'N/A', '40%', '14°C', '1009,0mb', '', 'Açık']
['19:50', '27°C', '27°C', '15 Km/h', 'N/A', '48%', '15°C', '1010,0mb', '', 'Açık']
['20:50', '26°C', '26°C', '13 Km/h', 'N/A', '54%', '16°C', '1010,0mb', '', 'Açık']
['21:50', '24°C', '24°C', '9 Km/h', 'N/A', '74%', '19°C', '1011,0mb', '', 'Açık']
['22:50', '22°C', '23°C', '4 Km/h', 'N/A', '88%', '20°C', '1010,0mb', '', 'Açık']
['23:50', '21°C', '21°C', '6 Km/h', 'N/A', '94%', '20°C', '1010,0mb', '', 'Açık']
6 Ağustos 2008 Çarşamba  
['Saat', 'Sıcaklık', 'Hissedilir Sıcaklık', 'Rüzgar', 'Rüzgarın Şiddeti', 'Bağıl Nem', 'Çiğ oluşma derecesi', 'Basınç', 'Simge', 'TarifAyrıntılar']
['00:50', '20°C', '20°C', '4 Km/h', 'N/A', '94%', '19°C', '1010,0mb', '', 'Açık']
['01:50', '18°C', '18°C', '4 Km/h', 'N/A', '100%', '18°C', '1010,0mb', '', 'Açık']
['02:50', '18°C', '18°C', '4 Km/h', 'N/A', '100%', '18°C', '1010,0mb', '', 'Açık']
['03:50', '16°C', '16°C', '4 Km/h', 'N/A', '100%', '16°C', '1010,0mb', '', 'Açık']
['04:50', '17°C', '17°C', '4 Km/h', 'N/A', '100%', '17°C', '1010,0mb', '', 'Açık']
['05:50', '16°C', '16°C', '4 Km/h', 'N/A', '100%', '16°C', '1010,0mb', '', 'Açık']
['06:50', '16°C', '16°C', '4 Km/h', 'N/A', '100%', '16°C', '1010,0mb', '', 'Açık']
['07:50', '20°C', '20°C', '4 Km/h', 'N/A', '100%', '20°C', '1010,0mb', '', 'Az bulutlu']
['08:50', '22°C', '23°C', '4 Km/h', 'N/A', '88%', '20°C', '1011,0mb', '', 'Açık']
['09:50', '25°C', '25°C', '7 Km/h', 'N/A', '65%', '18°C', '1011,0mb', '', 'Açık']
['10:50', '28°C', '29°C', '9 Km/h', 'N/A', '55%', '18°C', '1011,0mb', '', 'Açık']
['11:50', '30°C', '29°C', '6 Km/h', 'N/A', '35%', '13°C', '1010,0mb', '', 'Açık']
['12:50', '32°C', '30°C', '7 Km/h', 'N/A', '24%', '9°C', '1010,0mb', '', 'Açık']
['13:50', '33°C', '31°C', '17 Km/h', 'N/A', '21%', '8°C', '1009,0mb', '', 'Açık']
['14:50', '34°C', '32°C', '17 Km/h', 'N/A', '21%', '9°C', '1009,0mb', '', 'Açık']
['15:50', '34°C', '32°C', '20 Km/h', 'N/A', '20%', '8°C', '1009,0mb', '', 'Açık']
['16:50', '33°C', '31°C', '20 Km/h', 'N/A', '23%', '9°C', '1010,0mb', '', 'Az bulutlu']
['17:50', '31°C', '29°C', '19 Km/h', 'N/A', '24%', '8°C', '1010,0mb', '', 'Açık']
['18:50', '30°C', '29°C', '20 Km/h', 'N/A', '33%', '12°C', '1010,0mb', '', 'Açık']
['19:50', '27°C', '28°C', '7 Km/h', 'N/A', '58%', '18°C', '1011,0mb', '', 'Açık']
['20:50', '26°C', '27°C', '7 Km/h', 'N/A', '61%', '18°C', '1012,0mb', '', 'Açık']
['21:50', '25°C', '25°C', '9 Km/h', 'N/A', '74%', '20°C', '1012,0mb', '', 'Açık']
['22:50', '23°C', '23°C', '6 Km/h', 'N/A', '78%', '19°C', '1012,0mb', '', 'Açık']
['23:50', '22°C', '23°C', '9 Km/h', 'N/A', '88%', '20°C', '1013,0mb', '', 'Açık']
7 Ağustos 2008 Perşembe  
['Saat', 'Sıcaklık', 'Hissedilir Sıcaklık', 'Rüzgar', 'Rüzgarın Şiddeti', 'Bağıl Nem', 'Çiğ oluşma derecesi', 'Basınç', 'Simge', 'TarifAyrıntılar']
['00:50', '21°C', '21°C', '7 Km/h', 'N/A', '100%', '21°C', '1013,0mb', '', 'Açık']
['01:50', '21°C', '21°C', '7 Km/h', 'N/A', '100%', '21°C', '1012,0mb', '', 'Açık']
['02:50', '20°C', '20°C', '9 Km/h', 'N/A', '100%', '20°C', '1012,0mb', '', 'Açık']
['03:50', '21°C', '21°C', '6 Km/h', 'N/A', '88%', '19°C', '1013,0mb', '', 'Açık']
['04:50', '21°C', '21°C', '9 Km/h', 'N/A', '100%', '21°C', '1012,0mb', '', 'Açık']
['05:50', '21°C', '21°C', '11 Km/h', 'N/A', '94%', '20°C', '1012,0mb', '', 'Az bulutlu']
['06:50', '22°C', '23°C', '11 Km/h', 'N/A', '94%', '21°C', '1012,0mb', '', 'Az bulutlu']
['07:50', '23°C', '24°C', '13 Km/h', 'N/A', '89%', '21°C', '1012,0mb', '', 'Az bulutlu']
['08:50', '25°C', '26°C', '13 Km/h', 'N/A', '79%', '21°C', '1013,0mb', '', 'Az bulutlu']
['09:50', '27°C', '28°C', '13 Km/h', 'N/A', '62%', '19°C', '1013,0mb', '', 'Az bulutlu']
['10:50', '28°C', '29°C', '17 Km/h', 'N/A', '51%', '17°C', '1013,0mb', '', 'Az bulutlu']
['11:50', '29°C', '28°C', '35 Km/h', 'N/A', '33%', '11°C', '1012,0mb', '', 'Az bulutlu']
['12:50', '30°C', '29°C', '31 Km/h', 'N/A', '33%', '12°C', '1012,0mb', '', 'Az bulutlu']
['13:50', '30°C', '29°C', '28 Km/h', 'N/A', '38%', '14°C', '1012,0mb', '', 'Az bulutlu']
['14:50', '30°C', '30°C', '26 Km/h', 'N/A', '40%', '15°C', '1012,0mb', '', 'Az bulutlu']
['15:50', '29°C', '29°C', '24 Km/h', 'N/A', '45%', '16°C', '1011,0mb', '', 'Az bulutlu']
['16:50', '29°C', '29°C', '28 Km/h', 'N/A', '48%', '17°C', '1011,0mb', '', 'Az bulutlu']
['17:50', '28°C', '28°C', '28 Km/h', 'N/A', '48%', '16°C', '1012,0mb', '', 'Az bulutlu']
['18:50', '26°C', '27°C', '24 Km/h', 'N/A', '58%', '17°C', '1012,0mb', '', 'Az bulutlu']
['19:50', '25°C', '25°C', '15 Km/h', 'N/A', '65%', '18°C', '1012,0mb', '', 'Az bulutlu']
['20:50', '24°C', '24°C', '17 Km/h', 'N/A', '69%', '18°C', '1012,0mb', '', 'Az bulutlu']
['21:50', '23°C', '23°C', '9 Km/h', 'N/A', '78%', '19°C', '1013,0mb', '', 'Açık']
['22:50', '23°C', '23°C', '13 Km/h', 'N/A', '74%', '18°C', '1012,0mb', '', 'Açık']
['23:50', '21°C', '21°C', '7 Km/h', 'N/A', '83%', '18°C', '1012,0mb', '', 'Açık']
8 Ağustos 2008 Cuma  
['Saat', 'Sıcaklık', 'Hissedilir Sıcaklık', 'Rüzgar', 'Rüzgarın Şiddeti', 'Bağıl Nem', 'Çiğ oluşma derecesi', 'Basınç', 'Simge', 'TarifAyrıntılar']
['00:50', '21°C', '21°C', '6 Km/h', 'N/A', '88%', '19°C', '1012,0mb', '', 'Açık']
['01:50', '21°C', '21°C', '9 Km/h', 'N/A', '88%', '19°C', '1011,0mb', '', 'Açık']
['02:50', '19°C', '19°C', '9 Km/h', 'N/A', '94%', '18°C', '1011,0mb', '', 'Açık']
['03:50', '19°C', '19°C', '6 Km/h', 'N/A', '94%', '18°C', '1011,0mb', '', 'Açık']
['04:50', '17°C', '17°C', '7 Km/h', 'N/A', '100%', '17°C', '1011,0mb', '', 'Açık']
['05:50', '16°C', '16°C', '6 Km/h', 'N/A', '100%', '16°C', '1011,0mb', '', 'Açık']
['06:50', '18°C', '18°C', '6 Km/h', 'N/A', '100%', '18°C', '1011,0mb', '', 'Az bulutlu']
['07:50', '20°C', '20°C', '6 Km/h', 'N/A', '100%', '20°C', '1011,0mb', '', 'Az bulutlu']
['08:50', '24°C', '25°C', '13 Km/h', 'N/A', '78%', '20°C', '1011,0mb', '', 'Az bulutlu']
['09:50', '25°C', '25°C', '13 Km/h', 'N/A', '69%', '19°C', '1011,0mb', '', 'Az bulutlu']
['10:50', '26°C', '27°C', '9 Km/h', 'N/A', '61%', '18°C', '1010,0mb', '', 'Az bulutlu']
['11:50', '27°C', '28°C', '13 Km/h', 'N/A', '54%', '17°C', '1010,0mb', '', 'Az bulutlu']
['12:50', '29°C', '30°C', '9 Km/h', 'N/A', '51%', '18°C', '1010,0mb', '', 'Az bulutlu']
['13:50', '29°C', '29°C', '24 Km/h', 'N/A', '48%', '17°C', '1009,0mb', '', 'Az bulutlu']
['14:50', '29°C', '29°C', '22 Km/h', 'N/A', '48%', '17°C', '1009,0mb', '', 'Az bulutlu']
['15:50', '29°C', '29°C', '22 Km/h', 'N/A', '48%', '17°C', '1009,0mb', '', 'Az bulutlu']
['16:50', '28°C', '29°C', '22 Km/h', 'N/A', '51%', '17°C', '1010,0mb', '', 'Az bulutlu']
['17:50', '27°C', '28°C', '22 Km/h', 'N/A', '54%', '17°C', '1001,0mb', '', 'Az bulutlu']
['18:50', '26°C', '27°C', '20 Km/h', 'N/A', '61%', '18°C', '1009,0mb', '', 'Az bulutlu']
['19:50', '25°C', '25°C', '13 Km/h', 'N/A', '65%', '18°C', '1010,0mb', '', 'Az bulutlu']
['20:50', '24°C', '24°C', '11 Km/h', 'N/A', '74%', '19°C', '1010,0mb', '', 'Açık']
['21:50', '23°C', '23°C', '7 Km/h', 'N/A', '78%', '19°C', '1010,0mb', '', 'Açık']
['22:50', '22°C', '22°C', '9 Km/h', 'N/A', '83%', '19°C', '1010,0mb', '', 'Açık']
['23:50', '21°C', '21°C', '6 Km/h', 'N/A', '88%', '19°C', '1010,0mb', '', 'Açık']
9 Ağustos 2008 Cumartesi  
['Saat', 'Sıcaklık', 'Hissedilir Sıcaklık', 'Rüzgar', 'Rüzgarın Şiddeti', 'Bağıl Nem', 'Çiğ oluşma derecesi', 'Basınç', 'Simge', 'TarifAyrıntılar']
['00:50', '19°C', '19°C', '6 Km/h', 'N/A', '100%', '19°C', '1009,0mb', '', 'Açık']
['01:50', '19°C', '19°C', '2 Km/h', 'N/A', '100%', '19°C', '1009,0mb', '', 'Açık']
['02:50', '18°C', '18°C', '6 Km/h', 'N/A', '100%', '18°C', '1009,0mb', '', 'Açık']
['06:50', '18°C', '18°C', '6 Km/h', 'N/A', '100%', '18°C', '1009,0mb', '', 'Açık']
['07:50', '18°C', '18°C', '2 Km/h', 'N/A', '100%', '18°C', '1009,0mb', '', 'Az bulutlu']
['08:50', '21°C', '21°C', '2 Km/h', 'N/A', '100%', '21°C', '1009,0mb', '', 'Az bulutlu']
['09:50', '25°C', '25°C', '7 Km/h', 'N/A', '74%', '20°C', '1009,0mb', '', 'Az bulutlu']
['10:50', '26°C', '27°C', '7 Km/h', 'N/A', '65%', '19°C', '1008,0mb', '', 'Az bulutlu']
['11:50', '27°C', '28°C', '4 Km/h', 'N/A', '58%', '18°C', '1008,0mb', '', 'Az bulutlu']
['12:50', '29°C', '29°C', '6 Km/h', 'N/A', '48%', '17°C', '1008,0mb', '', 'Az bulutlu']
['13:50', '30°C', '30°C', '6 Km/h', 'N/A', '46%', '17°C', '1007,0mb', '', 'Az bulutlu']
['14:50', '30°C', '31°C', '20 Km/h', 'N/A', '49%', '18°C', '1007,0mb', '', 'Az bulutlu']
['15:50', '29°C', '30°C', '17 Km/h', 'N/A', '51%', '18°C', '1007,0mb', '', 'Az bulutlu']
['16:50', '30°C', '30°C', '17 Km/h', 'N/A', '46%', '17°C', '1007,0mb', '', 'Az bulutlu']
['17:50', '28°C', '29°C', '13 Km/h', 'N/A', '51%', '17°C', '1007,0mb', '', 'Az bulutlu']
['18:50', '28°C', '29°C', '13 Km/h', 'N/A', '51%', '17°C', '1007,0mb', '', 'Az bulutlu']
['19:50', '26°C', '27°C', '13 Km/h', 'N/A', '58%', '17°C', '1007,0mb', '', 'Az bulutlu']
['20:50', '24°C', '24°C', '6 Km/h', 'N/A', '65%', '17°C', '1007,0mb', '', 'Az bulutlu']
['21:50', '24°C', '24°C', '7 Km/h', 'N/A', '74%', '19°C', '1008,0mb', '', 'Açık']
['22:50', '21°C', '21°C', '4 Km/h', 'N/A', '88%', '19°C', '1008,0mb', '', 'Açık']
['23:50', '20°C', '20°C', '4 Km/h', 'N/A', '88%', '18°C', '1008,0mb', '', 'Açık']
10 Ağustos 2008 Pazar  
['Saat', 'Sıcaklık', 'Hissedilir Sıcaklık', 'Rüzgar', 'Rüzgarın Şiddeti', 'Bağıl Nem', 'Çiğ oluşma derecesi', 'Basınç', 'Simge', 'TarifAyrıntılar']
['00:50', '19°C', '19°C', '4 Km/h', 'N/A', '100%', '19°C', '1008,0mb', '', 'Açık']
['01:50', '19°C', '19°C', '4 Km/h', 'N/A', '94%', '18°C', '1007,0mb', '', 'Açık']
['02:50', '18°C', '18°C', '4 Km/h', 'N/A', '100%', '18°C', '1008,0mb', '', 'Açık']
['03:50', '17°C', '17°C', '4 Km/h', 'N/A', '100%', '17°C', '1008,0mb', '', 'Açık']
['04:50', '17°C', '17°C', '4 Km/h', 'N/A', '94%', '16°C', '1007,0mb', '', 'Açık']
['05:50', '16°C', '16°C', '6 Km/h', 'N/A', '100%', '16°C', '1008,0mb', '', 'Açık']
['06:50', '17°C', '17°C', '6 Km/h', 'N/A', '100%', '17°C', '1008,0mb', '', 'Açık']
['07:50', '19°C', '19°C', '2 Km/h', 'N/A', '100%', '19°C', '1008,0mb', '', 'Az bulutlu']
['08:50', '22°C', '22°C', '7 Km/h', 'N/A', '83%', '19°C', '1008,0mb', '', 'Az bulutlu']
['09:50', '25°C', '25°C', '6 Km/h', 'N/A', '61%', '17°C', '1009,0mb', '', 'Açık']
['10:50', '27°C', '28°C', '6 Km/h', 'N/A', '58%', '18°C', '1009,0mb', '', 'Açık']
['11:50', '28°C', '28°C', '7 Km/h', 'N/A', '48%', '16°C', '1008,0mb', '', 'Açık']
